surv_v2,junk_v2,surv_r2,junk_r2,surv_v6,junk_v6
0.7799511002444988,0.0,0.7799511002444988,0.0,0.7799511002444988,0.0
0.9588414634146342,0.0,0.9588414634146342,0.0,0.9588414634146342,0.0
0.893565467109396,0.0003782420749279539,0.893565467109396,0.0003782420749279539,0.893565467109396,0.0003782420749279539
0.9700689423238608,0.0,0.9700689423238608,0.0,0.9700689423238608,0.0
0.9564032697547684,0.0019924728802302415,0.9564032697547684,0.0019924728802302415,0.9564032697547684,0.0019924728802302415
0.856605222734255,0.0,0.856605222734255,0.0,0.856605222734255,0.0
0.4208765315739868,0.0,0.4208765315739868,0.0,0.4208765315739868,0.0
0.95436741088915,0.003697976198480468,0.95436741088915,0.003697976198480468,0.95436741088915,0.003697976198480468
0.90762803651555,0.001367503152361163,0.90762803651555,0.001367503152361163,0.90762803651555,0.001367503152361163
0.976497346474602,0.0,0.976497346474602,0.0,0.976497346474602,0.0
0.9617918313570487,0.0013895321908290875,0.9617918313570487,0.0013895321908290875,0.9617918313570487,0.0013895321908290875
0.9503948667324777,0.0,0.9503948667324777,0.0,0.9503948667324777,0.0
0.23359273670557718,0.0006012253545320939,0.23359273670557718,0.0006012253545320939,0.2191958495460441,0.0005153360181703663
0.9630872483221476,0.0014534883720930232,0.9630872483221476,0.0014534883720930232,0.9630872483221476,0.0014534883720930232
0.9769381107491857,0.00103799890094234,0.9769381107491857,0.00103799890094234,0.9769381107491857,0.00103799890094234
0.9580142593081595,0.0020280627284518333,0.9580142593081595,0.0020280627284518333,0.9580142593081595,0.0020280627284518333
0.9617834394904459,4.5080073480519773e-05,0.9617834394904459,4.5080073480519773e-05,0.9617834394904459,4.5080073480519773e-05
0.9756975697569757,0.0,0.9756975697569757,0.0,0.9756975697569757,0.0
0.9672096013716245,0.0018190262404210852,0.9672096013716245,0.0018190262404210852,0.9672096013716245,0.0018190262404210852
0.9651686280704526,0.0015574847298779745,0.9651686280704526,0.0015574847298779745,0.9651686280704526,0.0015574847298779745
0.6597785977859778,0.0,0.6597785977859778,0.0,0.6597785977859778,0.0
0.9637799330529568,2.520066025729874e-05,0.9637799330529568,2.520066025729874e-05,0.9637799330529568,2.520066025729874e-05
0.967170626349892,0.0011364854722847647,0.967170626349892,0.0011364854722847647,0.967170626349892,0.0011364854722847647
0.946923076923077,0.0008328128253175099,0.946923076923077,0.0008328128253175099,0.946923076923077,0.0008328128253175099
0.9743950039032007,0.00035874439461883406,0.9743950039032007,0.00035874439461883406,0.9743950039032007,0.00035874439461883406
0.9531645569620253,0.0004989190088142358,0.9531645569620253,0.0004989190088142358,0.9531645569620253,0.0004989190088142358
0.8461538461538461,0.0,0.8461538461538461,0.0,0.8461538461538461,0.0
0.9669934640522876,0.0014099616858237547,0.9669934640522876,0.0014099616858237547,0.9669934640522876,0.0014099616858237547
0.9678312458800263,0.0009764072753695589,0.9678312458800263,0.0009764072753695589,0.9678312458800263,0.0009764072753695589
0.9717868338557993,0.0027839643652561247,0.9717868338557993,0.0027839643652561247,0.9717868338557993,0.0027839643652561247
0.9674324665488513,0.00010834823121512542,0.9674324665488513,0.00010834823121512542,0.9674324665488513,0.00010834823121512542
0.968639638367001,0.0007377943157759672,0.968639638367001,0.0007377943157759672,0.968639638367001,0.0007377943157759672
0.9775564241583659,0.0004020850984390482,0.9775564241583659,0.0004020850984390482,0.9775564241583659,0.0004020850984390482
0.9738500315059861,0.0017381738173817382,0.9738500315059861,0.0017381738173817382,0.9738500315059861,0.0017381738173817382
0.9685681024447031,0.0006116207951070336,0.9685681024447031,0.0006116207951070336,0.9685681024447031,0.0006116207951070336
0.9665236051502146,0.00018793459875963165,0.9665236051502146,0.00018793459875963165,0.9665236051502146,0.00018793459875963165
0.9644870349492672,0.002824717528247175,0.9644870349492672,0.002824717528247175,0.9644870349492672,0.002824717528247175
0.9639591178052717,0.00011821728336682824,0.9639591178052717,0.00011821728336682824,0.9639591178052717,0.00011821728336682824
0.9664943519050354,3.1266610386767973e-05,0.9664943519050354,3.1266610386767973e-05,0.9664943519050354,3.1266610386767973e-05
0.9793228678537957,0.0,0.9793228678537957,0.0,0.9793228678537957,0.0
0.980604921394395,0.0,0.980604921394395,0.0,0.980604921394395,0.0
0.8705590502347834,4.100629446620056e-05,0.8705590502347834,4.100629446620056e-05,0.8705590502347834,4.100629446620056e-05
0.7649865791828213,0.0,0.7649865791828213,0.0,0.7649865791828213,0.0
0.9685589519650655,0.0024479804161566705,0.9685589519650655,0.0024479804161566705,0.9685589519650655,0.0024479804161566705
0.9567459657294959,0.0,0.9567459657294959,0.0,0.9567459657294959,0.0
0.8368292369064471,0.002563354451483828,0.8368292369064471,0.002563354451483828,0.8368292369064471,0.002563354451483828
0.9553928095872171,0.0014056789429294349,0.9553928095872171,0.0014056789429294349,0.9553928095872171,0.0014056789429294349
0.7166123778501629,0.0023645743766122097,0.7166123778501629,0.0023645743766122097,0.7166123778501629,0.0023645743766122097
0.9584741670690488,5.5561729081009004e-05,0.9584741670690488,5.5561729081009004e-05,0.9584741670690488,5.5561729081009004e-05
0.9642512077294686,3.797228023542814e-05,0.9642512077294686,3.797228023542814e-05,0.9642512077294686,3.797228023542814e-05
0.9616208202931972,0.0026494643474254116,0.9616208202931972,0.0026494643474254116,0.9616208202931972,0.0026494643474254116
